dataset,model,experiment,iou,f1,bf1_3,chamfer,hausdorff,broken_segments,params_m,flops_g_2x_macs,latency_ms,fps
GF6_TCUNet,U-Net,baseline_remote_gf6_unet80,0.835533558413288,0.8877027532292842,0.8950106531450928,9.152608795194949,82.50981060944811,28.507042253521128,1.927009,70.531416064,10.36201953125,96.50628402930322
SeaLand,U-Net,baseline_remote_sealand_unet80,0.9685698022254078,0.9827788344984816,0.5738630383194653,88.70926791151216,310.71503450796087,35.79495268138801,1.927009,70.531416064,10.517703125,95.07779294730759
GLH-Water,U-Net,baseline_remote_glh_unet80,0.4653447537688804,0.5169903486606814,0.4058738878433756,74.61735622031155,172.8064713448217,16.501420454545453,1.927009,70.531416064,10.46968359375,95.51387021829024
GF6_TCUNet,MobileNetV3-UNet,baseline_remote_gf6_mobilenetv3_unet80,0.8564167777504076,0.9039061963470426,0.9306969215276955,5.585377791206333,67.0286916200812,27.901408450704224,3.053809,8.164686592,9.0998681640625,109.89170194236803
SeaLand,MobileNetV3-UNet,baseline_remote_sealand_mobilenetv3_unet80,0.9801589731142053,0.9893070449605613,0.6208797443534838,84.17784556256352,301.68446618339755,30.258675078864353,3.053809,8.164686592,8.5966376953125,116.32454867154298
GLH-Water,MobileNetV3-UNet,baseline_remote_glh_mobilenetv3_unet80,0.5357962106834826,0.5740951034361914,0.5291320208422806,40.747246624680564,101.10675959601333,18.245738636363637,3.053809,8.164686592,9.284388671875,107.70768387037464
GF6_TCUNet,DeepLabV3-MobileNet,baseline_remote_gf6_deeplabv3_mobilenet80,0.7475641251176097,0.8085898931287441,0.8070647506141704,17.63187504193323,106.9265924442625,59.056338028169016,11.020337,19.64145024,9.73187109375,102.75516294520381
SeaLand,DeepLabV3-MobileNet,baseline_remote_sealand_deeplabv3_mobilenet80,0.9812425198401324,0.9899407254609115,0.6059042661694014,85.63244657358202,299.74835425276666,41.34700315457413,11.020337,19.64145024,10.3490009765625,96.62768437887979
GLH-Water,DeepLabV3-MobileNet,baseline_remote_glh_deeplabv3_mobilenet80,0.5307342194421857,0.5655646472913252,0.5630205548458729,37.96238472640111,83.00971719469743,15.686079545454545,11.020337,19.64145024,9.969318359375,100.3077606664667
GF6_TCUNet,DeepLabV3-ResNet50,baseline_remote_gf6_deeplabv3_resnet50_80,0.7975576717070024,0.8556239304962563,0.8793964565075967,12.218403980953807,87.76326440338458,52.36971830985915,39.633729,327.116914688,36.87637369791667,27.117633859331864
SeaLand,DeepLabV3-ResNet50,baseline_remote_sealand_deeplabv3_resnet50_80,0.9800593581879076,0.9892175521975509,0.6207059012424936,85.75715734791356,302.82488587371324,32.4384858044164,39.633729,327.116914688,36.83717447916667,27.146490308738304
GLH-Water,DeepLabV3-ResNet50,baseline_remote_glh_deeplabv3_resnet50_80,0.5151142889555086,0.5528583266281227,0.5419562909983195,42.145840021143655,95.78487418937956,16.407670454545453,39.633729,327.116914688,36.86062825520833,27.129217469555797
